"book","prompt"
"外婆家的马1","the cover of a child's book with a boy and woman riding a horse, in the style of aboriginal art, uhd image, digitally enhanced, comic strip imagery, yellow and white, stop-motion animation, political cartoons"
"外婆家的马2","this is a children's book depicting the role of a horse riding, in the style of aboriginal art, yellow and white, colorful animation stills, digitally enhanced, peter max, mommy's on-the-phonecore, george tooker"
"外婆家的马3","a picture of a horse riding a child riding on top of it, in the style of graphic novel-esque, aboriginal art, light yellow and white, children's book illustrations, realist detail, primary colors, animated gifs"
"外婆家的马4","book cover children love jumping on top of horses, in the style of aboriginal art, comic strip-esque, realist detail, mommy's on-the-phonecore, light white and yellow, rough-edged 2d animation, commission for"
"乌龟一家去看海1"," three turtles with animals and Chinese language, in the style of dark indigo and light brown, storybook illustration, mote kei, light indigo and light brown, use of bright colors, minimalist textiles, textured shading"
"乌龟一家去看海2","chinese children's song of turtles screenshot thumbnail, in the style of dark indigo and light brown, minimalistic japanese, embroidery, children's book illustrations, brightly colored, knitted and crocheted, stenciled iconography"
"乌龟一家去看海3","an image with two turtles on blue background, in the style of japanese inspiration, embroidery, sandara tang, children's book illustrations, light brown and dark azure, chung shek, layered textures and patterns"
"乌龟一家去看海4","baby turtle chinese screenshot thumbnail, in the style of dark indigo and light indigo, storybook illustration, embroidery, naoko takeuchi, light brown and light blue, cultural heritage, animals and people"
"小熊快跑1","the children, krety and zoo are standing together in a swamp, in the style of tsuguharu foujita, quietly poetic, textured nature studies, southern countryside, natural materials, children's book illustrations, cinestill 50d"
"小熊快跑2","the story for children, the frog that saved us, in the style of japanese-style landscapes, detailed hunting scenes, graphic novel sketches, ricoh ff-9d, light indigo and dark amber, southern countryside, realistic perspective"
"小熊快跑3","book review shiru ayala's 'the white tiger', illustrated by amit devi, in the style of traditional chinese landscape, child-like innocence, depiction of rural life, gravure printing, green and brown, colorful animation stills, romantic riverscapes"
"小熊快跑4","kasey robinson ’s cover illustration for the poetry collection oleam, in the style of fujishima takeji, rural life scenes, cinestill 50d, natural materials, child-like innocence, light brown and green, hatching"
"一起去动物园1","a picture book with illustrations of animals and children in the story, in the style of tooth wu, crosshatched shading, plush doll art, multiple points of view, ritualistic masks, nature-inspired camouflage, bo chen"
"一起去动物园2","children's book with animals and a cartoon image, in the style of gongbi, foreshortening techniques, crosshatched shading, ritualistic masks, unpolished, colorful fauna, babycore"
"一起去动物园3","a book book with a black and white picture of animals and a green crocodile, in the style of xiaofei yue, colorful cartoon, light orange and light brown, ritualistic masks, child-like innocence, realistic naturalism, bo chen"
"一起去动物园4","all animals are animals, in the style of lively illustrations, ritualistic masks, organic material, childlike innocence, orange and green, sentimental storytelling, high detailed"
"一只特立独行的猪1","english version of the chinese title, the pig is running, in the style of whimsical cats, yasushi nirasawa, dissected books, serge attukwei clottey, tasteful use of negative space, detailed crosshatching, chinese cultural themes"
"一只特立独行的猪2","japan chinese children's book, fei chow books, in the style of abstract cats, emphasis on negative space, contemporary tapestries, light yellow and dark blue, rural china, sharp and clever humor, dark brown and yellow"
"一只特立独行的猪3","a book with dogs and pigs in Chinese written on an old rug, in the style of tasteful use of negative space, abstract cats, jean jullien, captivatingly atmospheric cityscapes, literary excavations, nostalgic imagery"
"一只特立独行的猪4","a book that says pig in chinese and a pig is running toward a wire fence, in the style of abstract cats, use of fabric, literary excavations, handwoven textiles, clever use of negative space, mischievous feline motif, hauntingly beautiful illustrations"
"杯杯英雄1","the king of chinese classics, illustrated picture storybook, in the style of fisheye lens, nautical surrealism, political and social commentary, anglocore, jeff kinney, found-object-centric, use of precious materials"
"杯杯英雄2","ten thousand books by the king of chine, in the style of whimsical cartoonish scenes, fisheye lens, seaside scenes, clockpunk, contemporary archaeological, enlightenment era, innovative page design"
